"","NAME","Category","Proportion"
"323","Marquette","Taxicab, motorcycle, bicycle, or other means",1.22652600807092
"324","Marquette","Worked from home",7.48307966063995
"325","Mason","Car, truck, or van - drove alone",72.6030699991963
"326","Mason","Car, truck, or van - carpooled",11.4441854858153
"327","Mason","Public transportation (excluding taxicab)",0.98850759463152
"328","Mason","Walked",3.01374266655951
"329","Mason","Taxicab, motorcycle, bicycle, or other means",0.98850759463152
"330","Mason","Worked from home",10.9619866591658
"331","Mecosta","Car, truck, or van - drove alone",76.2477000919963
"332","Mecosta","Car, truck, or van - carpooled",8.58440662373505
"333","Mecosta","Public transportation (excluding taxicab)",0.385234590616375
"334","Mecosta","Walked",4.35832566697332
"335","Mecosta","Taxicab, motorcycle, bicycle, or other means",1.75367985280589
"336","Mecosta","Worked from home",8.67065317387305
"337","Menominee","Car, truck, or van - drove alone",78.6417322834646
"338","Menominee","Car, truck, or van - carpooled",8.06102362204724
"339","Menominee","Public transportation (excluding taxicab)",0.15748031496063
"340","Menominee","Walked",3.63188976377953
"341","Menominee","Taxicab, motorcycle, bicycle, or other means",1.59448818897638
"342","Menominee","Worked from home",7.91338582677165
"343","Midland","Car, truck, or van - drove alone",77.4218254806676
"344","Midland","Car, truck, or van - carpooled",7.97591379674625
"345","Midland","Public transportation (excluding taxicab)",0.565180646524403
"346","Midland","Walked",1.18582294527784
"347","Midland","Taxicab, motorcycle, bicycle, or other means",0.842488907669554
"348","Midland","Worked from home",12.0087682231143
"349","Missaukee","Car, truck, or van - drove alone",80.5632078359351
"350","Missaukee","Car, truck, or van - carpooled",9.3510866238139
"351","Missaukee","Public transportation (excluding taxicab)",0.413223140495868
"352","Missaukee","Walked",2.73951637588001
"353","Missaukee","Taxicab, motorcycle, bicycle, or other means",1.729415365779
"354","Missaukee","Worked from home",5.20355065809611
"355","Monroe","Car, truck, or van - drove alone",81.5296204327776
"356","Monroe","Car, truck, or van - carpooled",6.98829372117772
"357","Monroe","Public transportation (excluding taxicab)",0.190138346931536
"358","Monroe","Walked",1.31961688542036
"359","Monroe","Taxicab, motorcycle, bicycle, or other means",1.12664065271373
"360","Monroe","Worked from home",8.84568996097907
"361","Montcalm","Car, truck, or van - drove alone",80.9848955100352
"362","Montcalm","Car, truck, or van - carpooled",9.33512656045244
"363","Montcalm","Public transportation (excluding taxicab)",0.0206910821435961
"364","Montcalm","Walked",1.40009655838334
"365","Montcalm","Taxicab, motorcycle, bicycle, or other means",1.33802331195255
"366","Montcalm","Worked from home",6.9211669770329
"367","Montmorency","Car, truck, or van - drove alone",76.5035836709255
"368","Montmorency","Car, truck, or van - carpooled",11.0937986911811
"369","Montmorency","Public transportation (excluding taxicab)",0
"370","Montmorency","Walked",1.33998130258648
"371","Montmorency","Taxicab, motorcycle, bicycle, or other means",0.997195387971331
"372","Montmorency","Worked from home",10.0654409473356
"373","Muskegon","Car, truck, or van - drove alone",80.8885874173309
"374","Muskegon","Car, truck, or van - carpooled",9.3985207602301
"375","Muskegon","Public transportation (excluding taxicab)",0.0534822139027667
"376","Muskegon","Walked",1.24835313914507
"377","Muskegon","Taxicab, motorcycle, bicycle, or other means",1.18443537131005
"378","Muskegon","Worked from home",7.22662109808116
"379","Newaygo","Car, truck, or van - drove alone",77.1573368049098
"380","Newaygo","Car, truck, or van - carpooled",11.1493397805468
"381","Newaygo","Public transportation (excluding taxicab)",0.102287520922447
"382","Newaygo","Walked",1.57615770875953
"383","Newaygo","Taxicab, motorcycle, bicycle, or other means",1.82257764552725
"384","Newaygo","Worked from home",8.1923005393342
"385","Oakland","Car, truck, or van - drove alone",71.2943355256995
"386","Oakland","Car, truck, or van - carpooled",5.87577683626664
"387","Oakland","Public transportation (excluding taxicab)",0.344902249542766
"388","Oakland","Walked",1.0993567250564
"389","Oakland","Taxicab, motorcycle, bicycle, or other means",1.15893912613502
"390","Oakland","Worked from home",20.2266895372997
"391","Oceana","Car, truck, or van - drove alone",77.0862926136364
"392","Oceana","Car, truck, or van - carpooled",12.0472301136364
"393","Oceana","Public transportation (excluding taxicab)",0.133167613636364
"394","Oceana","Walked",2.08629261363636
"395","Oceana","Taxicab, motorcycle, bicycle, or other means",1.26065340909091
"396","Oceana","Worked from home",7.38636363636364
"397","Ogemaw","Car, truck, or van - drove alone",79.4998056239471
"398","Ogemaw","Car, truck, or van - carpooled",8.13787741350266
"399","Ogemaw","Public transportation (excluding taxicab)",0.181417649345601
"400","Ogemaw","Walked",1.84009330050538
"401","Ogemaw","Taxicab, motorcycle, bicycle, or other means",0.76454580795646
"402","Ogemaw","Worked from home",9.57626020474278
"403","Ontonagon","Car, truck, or van - drove alone",68.1492109038738
"404","Ontonagon","Car, truck, or van - carpooled",12.5298900047824
"405","Ontonagon","Public transportation (excluding taxicab)",0.430416068866571
"406","Ontonagon","Walked",6.02582496413199
"407","Ontonagon","Taxicab, motorcycle, bicycle, or other means",1.19560019129603
"408","Ontonagon","Worked from home",11.6690578670493
"409","Osceola","Car, truck, or van - drove alone",78.1591770438549
"410","Osceola","Car, truck, or van - carpooled",11.4997292907417
"411","Osceola","Public transportation (excluding taxicab)",0.162425554953979
"412","Osceola","Walked",2.49052517596102
"413","Osceola","Taxicab, motorcycle, bicycle, or other means",1.51597184623714
"414","Osceola","Worked from home",6.17217108825122
"415","Oscoda","Car, truck, or van - drove alone",69.6338837042355
"416","Oscoda","Car, truck, or van - carpooled",10.4091888011486
"417","Oscoda","Public transportation (excluding taxicab)",0.107681263460158
